,fname,tnum,task_phase,trial_type,forced,picked_best,rt,ch_side,left_type,left_prob,right_type,right_prob,chosen_prob,chosen_type,best_type,best_prob,best_side
41,K20240225,41.0,1.0,1.0,-1.0,1.0,160.0,-1.0,1.0,20.0,1.0,0.0,20.0,1.0,1.0,20.0,-1.0
42,K20240225,42.0,1.0,1.0,1.0,1.0,157.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,20.0,1.0
43,K20240225,43.0,1.0,1.0,0.0,1.0,163.0,1.0,1.0,50.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
44,K20240225,44.0,1.0,1.0,-1.0,1.0,179.0,-1.0,1.0,50.0,1.0,0.0,50.0,1.0,1.0,50.0,-1.0
45,K20240225,45.0,1.0,1.0,1.0,1.0,142.0,1.0,1.0,0.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
46,K20240225,46.0,1.0,1.0,0.0,1.0,179.0,-1.0,1.0,50.0,1.0,20.0,50.0,1.0,1.0,50.0,-1.0
47,K20240225,47.0,1.0,1.0,1.0,1.0,109.0,1.0,1.0,0.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
48,K20240225,48.0,1.0,1.0,-1.0,1.0,158.0,-1.0,1.0,80.0,1.0,0.0,80.0,1.0,1.0,80.0,-1.0
49,K20240225,49.0,1.0,1.0,0.0,1.0,172.0,1.0,1.0,50.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
50,K20240225,50.0,1.0,1.0,-1.0,1.0,159.0,-1.0,1.0,50.0,1.0,0.0,50.0,1.0,1.0,50.0,-1.0
51,K20240225,51.0,1.0,1.0,0.0,1.0,187.0,-1.0,1.0,80.0,1.0,50.0,80.0,1.0,1.0,80.0,-1.0
52,K20240225,52.0,1.0,1.0,0.0,1.0,181.0,1.0,1.0,20.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
53,K20240225,53.0,1.0,1.0,1.0,1.0,140.0,1.0,1.0,0.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
54,K20240225,54.0,1.0,1.0,0.0,1.0,174.0,-1.0,1.0,50.0,1.0,20.0,50.0,1.0,1.0,50.0,-1.0
55,K20240225,55.0,1.0,1.0,1.0,1.0,138.0,1.0,1.0,0.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
56,K20240225,56.0,1.0,1.0,0.0,1.0,179.0,-1.0,1.0,80.0,1.0,20.0,80.0,1.0,1.0,80.0,-1.0
57,K20240225,57.0,1.0,1.0,0.0,1.0,161.0,1.0,1.0,20.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
58,K20240225,58.0,1.0,1.0,-1.0,1.0,193.0,-1.0,1.0,20.0,1.0,0.0,20.0,1.0,1.0,20.0,-1.0
59,K20240225,59.0,1.0,1.0,-1.0,1.0,150.0,-1.0,1.0,80.0,1.0,0.0,80.0,1.0,1.0,80.0,-1.0
60,K20240225,60.0,1.0,1.0,1.0,1.0,154.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,20.0,1.0
61,K20240225,61.0,1.0,1.0,0.0,1.0,153.0,1.0,1.0,20.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
62,K20240225,62.0,1.0,1.0,-1.0,1.0,144.0,-1.0,1.0,80.0,1.0,0.0,80.0,1.0,1.0,80.0,-1.0
63,K20240225,63.0,1.0,1.0,1.0,1.0,145.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,20.0,1.0
64,K20240225,64.0,1.0,1.0,-1.0,1.0,158.0,-1.0,1.0,50.0,1.0,0.0,50.0,1.0,1.0,50.0,-1.0
65,K20240225,65.0,1.0,1.0,-1.0,1.0,147.0,-1.0,1.0,20.0,1.0,0.0,20.0,1.0,1.0,20.0,-1.0
66,K20240225,66.0,1.0,1.0,0.0,1.0,161.0,1.0,1.0,50.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
67,K20240225,67.0,1.0,1.0,0.0,1.0,271.0,-1.0,1.0,50.0,1.0,20.0,50.0,1.0,1.0,50.0,-1.0
68,K20240225,68.0,1.0,1.0,1.0,1.0,142.0,1.0,1.0,0.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
69,K20240225,69.0,1.0,1.0,1.0,1.0,136.0,1.0,1.0,0.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
70,K20240225,70.0,1.0,1.0,0.0,1.0,241.0,-1.0,1.0,80.0,1.0,50.0,80.0,1.0,1.0,80.0,-1.0
71,K20240225,71.0,1.0,1.0,0.0,1.0,158.0,1.0,1.0,20.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
72,K20240225,72.0,1.0,1.0,0.0,1.0,205.0,-1.0,1.0,80.0,1.0,20.0,80.0,1.0,1.0,80.0,-1.0
73,K20240225,73.0,1.0,1.0,0.0,1.0,139.0,1.0,1.0,50.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
74,K20240225,74.0,1.0,1.0,1.0,1.0,153.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,20.0,1.0
75,K20240225,75.0,1.0,1.0,-1.0,1.0,154.0,-1.0,1.0,20.0,1.0,0.0,20.0,1.0,1.0,20.0,-1.0
76,K20240225,76.0,1.0,1.0,0.0,1.0,177.0,-1.0,1.0,80.0,1.0,50.0,80.0,1.0,1.0,80.0,-1.0
77,K20240225,77.0,1.0,1.0,0.0,1.0,151.0,1.0,1.0,20.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
78,K20240225,78.0,1.0,1.0,0.0,1.0,223.0,-1.0,1.0,80.0,1.0,20.0,80.0,1.0,1.0,80.0,-1.0
79,K20240225,79.0,1.0,1.0,0.0,1.0,178.0,-1.0,1.0,50.0,1.0,20.0,50.0,1.0,1.0,50.0,-1.0
80,K20240225,80.0,1.0,1.0,1.0,1.0,156.0,1.0,1.0,0.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
81,K20240225,81.0,1.0,1.0,1.0,1.0,155.0,1.0,1.0,0.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
82,K20240225,82.0,1.0,1.0,0.0,1.0,174.0,1.0,1.0,20.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
83,K20240225,83.0,1.0,1.0,-1.0,1.0,136.0,-1.0,1.0,80.0,1.0,0.0,80.0,1.0,1.0,80.0,-1.0
84,K20240225,84.0,1.0,1.0,-1.0,1.0,164.0,-1.0,1.0,50.0,1.0,0.0,50.0,1.0,1.0,50.0,-1.0
85,K20240225,85.0,1.0,1.0,0.0,1.0,139.0,1.0,1.0,20.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
86,K20240225,86.0,1.0,1.0,0.0,1.0,198.0,-1.0,1.0,50.0,1.0,20.0,50.0,1.0,1.0,50.0,-1.0
87,K20240225,87.0,1.0,1.0,-1.0,1.0,171.0,-1.0,1.0,50.0,1.0,0.0,50.0,1.0,1.0,50.0,-1.0
88,K20240225,88.0,1.0,1.0,-1.0,1.0,171.0,-1.0,1.0,80.0,1.0,0.0,80.0,1.0,1.0,80.0,-1.0
89,K20240225,89.0,1.0,1.0,-1.0,1.0,186.0,-1.0,1.0,20.0,1.0,0.0,20.0,1.0,1.0,20.0,-1.0
90,K20240225,90.0,1.0,1.0,0.0,1.0,231.0,-1.0,1.0,80.0,1.0,20.0,80.0,1.0,1.0,80.0,-1.0
91,K20240225,91.0,1.0,1.0,0.0,0.0,189.0,1.0,1.0,80.0,1.0,50.0,50.0,1.0,1.0,80.0,-1.0
92,K20240225,92.0,1.0,1.0,1.0,1.0,143.0,1.0,1.0,0.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
93,K20240225,93.0,1.0,1.0,0.0,1.0,169.0,1.0,1.0,20.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
94,K20240225,94.0,1.0,1.0,1.0,1.0,155.0,1.0,1.0,0.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
95,K20240225,95.0,1.0,1.0,1.0,1.0,228.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,20.0,1.0
96,K20240225,96.0,1.0,1.0,0.0,1.0,144.0,1.0,1.0,50.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
97,K20240225,97.0,1.0,1.0,0.0,1.0,159.0,1.0,1.0,50.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
98,K20240225,98.0,1.0,1.0,0.0,1.0,140.0,1.0,1.0,20.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
99,K20240225,99.0,1.0,1.0,-1.0,1.0,175.0,-1.0,1.0,20.0,1.0,0.0,20.0,1.0,1.0,20.0,-1.0
100,K20240225,100.0,1.0,1.0,-1.0,1.0,169.0,-1.0,1.0,50.0,1.0,0.0,50.0,1.0,1.0,50.0,-1.0
101,K20240225,101.0,1.0,1.0,-1.0,1.0,204.0,-1.0,1.0,80.0,1.0,0.0,80.0,1.0,1.0,80.0,-1.0
102,K20240225,102.0,1.0,1.0,0.0,1.0,188.0,-1.0,1.0,50.0,1.0,20.0,50.0,1.0,1.0,50.0,-1.0
103,K20240225,103.0,1.0,1.0,1.0,1.0,157.0,1.0,1.0,0.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
104,K20240225,104.0,1.0,1.0,0.0,1.0,189.0,-1.0,1.0,80.0,1.0,20.0,80.0,1.0,1.0,80.0,-1.0
105,K20240225,105.0,1.0,1.0,0.0,0.0,176.0,1.0,1.0,80.0,1.0,50.0,50.0,1.0,1.0,80.0,-1.0
106,K20240225,106.0,1.0,1.0,1.0,1.0,153.0,1.0,1.0,0.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
107,K20240225,107.0,1.0,1.0,1.0,1.0,148.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,20.0,1.0
108,K20240225,108.0,1.0,1.0,0.0,1.0,170.0,1.0,1.0,20.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
109,K20240225,109.0,1.0,1.0,-1.0,1.0,179.0,-1.0,1.0,20.0,1.0,0.0,20.0,1.0,1.0,20.0,-1.0
110,K20240225,110.0,1.0,1.0,0.0,1.0,160.0,1.0,1.0,20.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
111,K20240225,111.0,1.0,1.0,0.0,1.0,155.0,1.0,1.0,50.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
112,K20240225,112.0,1.0,1.0,0.0,1.0,174.0,-1.0,1.0,50.0,1.0,20.0,50.0,1.0,1.0,50.0,-1.0
113,K20240225,113.0,1.0,1.0,-1.0,1.0,171.0,-1.0,1.0,80.0,1.0,0.0,80.0,1.0,1.0,80.0,-1.0
114,K20240225,114.0,1.0,1.0,0.0,1.0,136.0,1.0,1.0,20.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
115,K20240225,115.0,1.0,1.0,1.0,1.0,152.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,20.0,1.0
116,K20240225,116.0,1.0,1.0,0.0,1.0,170.0,-1.0,1.0,80.0,1.0,20.0,80.0,1.0,1.0,80.0,-1.0
117,K20240225,117.0,1.0,1.0,1.0,1.0,154.0,1.0,1.0,0.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
118,K20240225,118.0,1.0,1.0,1.0,1.0,158.0,1.0,1.0,0.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
119,K20240225,119.0,1.0,1.0,0.0,1.0,187.0,-1.0,1.0,80.0,1.0,50.0,80.0,1.0,1.0,80.0,-1.0
120,K20240225,120.0,1.0,1.0,-1.0,1.0,147.0,-1.0,1.0,50.0,1.0,0.0,50.0,1.0,1.0,50.0,-1.0
121,K20240225,121.0,2.0,2.0,0.0,1.0,332.0,-1.0,2.0,80.0,2.0,50.0,80.0,2.0,2.0,80.0,-1.0
122,K20240225,122.0,2.0,2.0,0.0,0.0,150.0,-1.0,2.0,20.0,2.0,80.0,20.0,2.0,2.0,80.0,1.0
123,K20240225,123.0,2.0,2.0,1.0,1.0,122.0,1.0,2.0,0.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
124,K20240225,124.0,2.0,2.0,1.0,1.0,121.0,1.0,2.0,0.0,2.0,20.0,20.0,2.0,2.0,20.0,1.0
125,K20240225,125.0,2.0,2.0,0.0,0.0,176.0,-1.0,2.0,20.0,2.0,50.0,20.0,2.0,2.0,50.0,1.0
126,K20240225,126.0,2.0,2.0,1.0,1.0,158.0,1.0,2.0,0.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
127,K20240225,127.0,2.0,2.0,0.0,1.0,352.0,-1.0,2.0,50.0,2.0,20.0,50.0,2.0,2.0,50.0,-1.0
128,K20240225,128.0,2.0,2.0,-1.0,1.0,144.0,-1.0,2.0,80.0,2.0,0.0,80.0,2.0,2.0,80.0,-1.0
129,K20240225,129.0,2.0,2.0,0.0,1.0,345.0,1.0,2.0,50.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
130,K20240225,130.0,2.0,2.0,-1.0,1.0,145.0,-1.0,2.0,50.0,2.0,0.0,50.0,2.0,2.0,50.0,-1.0
131,K20240225,131.0,2.0,2.0,-1.0,1.0,169.0,-1.0,2.0,20.0,2.0,0.0,20.0,2.0,2.0,20.0,-1.0
132,K20240225,132.0,2.0,2.0,0.0,0.0,442.0,1.0,2.0,80.0,2.0,20.0,20.0,2.0,2.0,80.0,-1.0
133,K20240225,133.0,2.0,2.0,0.0,1.0,297.0,1.0,2.0,50.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
134,K20240225,134.0,2.0,2.0,1.0,1.0,124.0,1.0,2.0,0.0,2.0,20.0,20.0,2.0,2.0,20.0,1.0
135,K20240225,135.0,2.0,2.0,-1.0,1.0,112.0,-1.0,2.0,20.0,2.0,0.0,20.0,2.0,2.0,20.0,-1.0
136,K20240225,136.0,2.0,2.0,0.0,1.0,390.0,1.0,2.0,20.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
137,K20240225,137.0,2.0,2.0,0.0,1.0,341.0,1.0,2.0,20.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
138,K20240225,138.0,2.0,2.0,-1.0,1.0,163.0,-1.0,2.0,80.0,2.0,0.0,80.0,2.0,2.0,80.0,-1.0
139,K20240225,139.0,2.0,2.0,0.0,0.0,188.0,1.0,2.0,80.0,2.0,20.0,20.0,2.0,2.0,80.0,-1.0
140,K20240225,140.0,2.0,2.0,-1.0,1.0,155.0,-1.0,2.0,50.0,2.0,0.0,50.0,2.0,2.0,50.0,-1.0
141,K20240225,141.0,2.0,2.0,0.0,0.0,154.0,1.0,2.0,50.0,2.0,20.0,20.0,2.0,2.0,50.0,-1.0
142,K20240225,142.0,2.0,2.0,1.0,1.0,163.0,1.0,2.0,0.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
143,K20240225,143.0,2.0,2.0,1.0,1.0,100.0,1.0,2.0,0.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
144,K20240225,144.0,2.0,2.0,0.0,0.0,174.0,1.0,2.0,80.0,2.0,50.0,50.0,2.0,2.0,80.0,-1.0
145,K20240225,145.0,2.0,2.0,0.0,1.0,375.0,1.0,2.0,20.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
146,K20240225,146.0,2.0,2.0,0.0,1.0,469.0,1.0,2.0,20.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
147,K20240225,147.0,2.0,2.0,-1.0,1.0,170.0,-1.0,2.0,50.0,2.0,0.0,50.0,2.0,2.0,50.0,-1.0
148,K20240225,148.0,2.0,2.0,-1.0,1.0,179.0,-1.0,2.0,80.0,2.0,0.0,80.0,2.0,2.0,80.0,-1.0
149,K20240225,149.0,2.0,2.0,-1.0,1.0,152.0,-1.0,2.0,20.0,2.0,0.0,20.0,2.0,2.0,20.0,-1.0
150,K20240225,150.0,2.0,2.0,0.0,0.0,601.0,1.0,2.0,80.0,2.0,50.0,50.0,2.0,2.0,80.0,-1.0
151,K20240225,151.0,2.0,2.0,0.0,0.0,153.0,1.0,2.0,80.0,2.0,20.0,20.0,2.0,2.0,80.0,-1.0
152,K20240225,152.0,2.0,2.0,0.0,1.0,313.0,1.0,2.0,50.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
153,K20240225,153.0,2.0,2.0,1.0,1.0,158.0,1.0,2.0,0.0,2.0,20.0,20.0,2.0,2.0,20.0,1.0
154,K20240225,154.0,2.0,2.0,1.0,1.0,125.0,1.0,2.0,0.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
155,K20240225,155.0,2.0,2.0,1.0,1.0,169.0,1.0,2.0,0.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
156,K20240225,156.0,2.0,2.0,0.0,0.0,134.0,1.0,2.0,50.0,2.0,20.0,20.0,2.0,2.0,50.0,-1.0
157,K20240225,157.0,2.0,2.0,-1.0,1.0,137.0,-1.0,2.0,20.0,2.0,0.0,20.0,2.0,2.0,20.0,-1.0
158,K20240225,158.0,2.0,2.0,0.0,1.0,333.0,-1.0,2.0,80.0,2.0,20.0,80.0,2.0,2.0,80.0,-1.0
159,K20240225,159.0,2.0,2.0,0.0,1.0,166.0,-1.0,2.0,80.0,2.0,50.0,80.0,2.0,2.0,80.0,-1.0
160,K20240225,160.0,2.0,2.0,-1.0,1.0,173.0,-1.0,2.0,50.0,2.0,0.0,50.0,2.0,2.0,50.0,-1.0
161,K20240225,161.0,2.0,2.0,0.0,1.0,296.0,1.0,2.0,20.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
162,K20240225,162.0,2.0,2.0,1.0,1.0,124.0,1.0,2.0,0.0,2.0,20.0,20.0,2.0,2.0,20.0,1.0
163,K20240225,163.0,2.0,2.0,1.0,1.0,143.0,1.0,2.0,0.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
164,K20240225,164.0,2.0,2.0,0.0,1.0,323.0,-1.0,2.0,50.0,2.0,20.0,50.0,2.0,2.0,50.0,-1.0
165,K20240225,165.0,2.0,2.0,-1.0,1.0,141.0,-1.0,2.0,80.0,2.0,0.0,80.0,2.0,2.0,80.0,-1.0
166,K20240225,166.0,2.0,2.0,0.0,1.0,140.0,1.0,2.0,50.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
167,K20240225,167.0,2.0,2.0,1.0,1.0,183.0,1.0,2.0,0.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
168,K20240225,168.0,2.0,2.0,0.0,1.0,297.0,1.0,2.0,20.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
169,K20240225,169.0,2.0,2.0,0.0,0.0,154.0,1.0,2.0,50.0,2.0,20.0,20.0,2.0,2.0,50.0,-1.0
170,K20240225,170.0,2.0,2.0,-1.0,1.0,139.0,-1.0,2.0,80.0,2.0,0.0,80.0,2.0,2.0,80.0,-1.0
171,K20240225,171.0,2.0,2.0,1.0,1.0,148.0,1.0,2.0,0.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
172,K20240225,172.0,2.0,2.0,0.0,1.0,320.0,1.0,2.0,20.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
173,K20240225,173.0,2.0,2.0,0.0,1.0,190.0,1.0,2.0,20.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
174,K20240225,174.0,2.0,2.0,-1.0,1.0,177.0,-1.0,2.0,50.0,2.0,0.0,50.0,2.0,2.0,50.0,-1.0
175,K20240225,175.0,2.0,2.0,0.0,1.0,186.0,1.0,2.0,50.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
176,K20240225,176.0,2.0,2.0,1.0,1.0,204.0,1.0,2.0,0.0,2.0,20.0,20.0,2.0,2.0,20.0,1.0
177,K20240225,177.0,2.0,2.0,0.0,1.0,350.0,-1.0,2.0,80.0,2.0,20.0,80.0,2.0,2.0,80.0,-1.0
178,K20240225,178.0,2.0,2.0,0.0,1.0,177.0,-1.0,2.0,80.0,2.0,50.0,80.0,2.0,2.0,80.0,-1.0
179,K20240225,179.0,2.0,2.0,-1.0,1.0,134.0,-1.0,2.0,20.0,2.0,0.0,20.0,2.0,2.0,20.0,-1.0
180,K20240225,180.0,2.0,2.0,1.0,1.0,111.0,1.0,2.0,0.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
181,K20240225,181.0,2.0,2.0,1.0,1.0,178.0,1.0,2.0,0.0,2.0,20.0,20.0,2.0,2.0,20.0,1.0
182,K20240225,182.0,2.0,2.0,0.0,1.0,331.0,1.0,2.0,20.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
183,K20240225,183.0,2.0,2.0,-1.0,1.0,150.0,-1.0,2.0,20.0,2.0,0.0,20.0,2.0,2.0,20.0,-1.0
184,K20240225,184.0,2.0,2.0,1.0,1.0,163.0,1.0,2.0,0.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
185,K20240225,185.0,2.0,2.0,-1.0,1.0,140.0,-1.0,2.0,80.0,2.0,0.0,80.0,2.0,2.0,80.0,-1.0
186,K20240225,186.0,2.0,2.0,0.0,1.0,181.0,-1.0,2.0,80.0,2.0,20.0,80.0,2.0,2.0,80.0,-1.0
187,K20240225,187.0,2.0,2.0,0.0,1.0,265.0,1.0,2.0,20.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
188,K20240225,188.0,2.0,2.0,1.0,1.0,196.0,1.0,2.0,0.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
189,K20240225,189.0,2.0,2.0,0.0,1.0,262.0,1.0,2.0,50.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
190,K20240225,190.0,2.0,2.0,-1.0,1.0,188.0,-1.0,2.0,50.0,2.0,0.0,50.0,2.0,2.0,50.0,-1.0
191,K20240225,191.0,2.0,2.0,0.0,1.0,303.0,-1.0,2.0,50.0,2.0,20.0,50.0,2.0,2.0,50.0,-1.0
